Reference,Qty,Value,Footprint,MPN,Manufacturer,DigiKey,DK_Stock,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
"C2,C1",2,22u,0603,CL10A226MQ8NRNC,Samsung Electro-Mechanics,490-7611-1-ND,,C59461,,,,,,
"C9,C26,C4,C21,C25,C30,C7",7,100n,0402,GRM155R71C104KA88D,Murata Electronics,490-3261-1-ND,,C71629,,,,,,
"C10,C24,C11,C6,C8,C20,C3",7,10u,0402,GRM155R61A106ME11D,Murata Electronics,490-GRM155R61A106ME18DCT-ND,,C408132,,,,,,
C12,1,4.7u,0402,CL05A475MQ5NRNC,Samsung Electro-Mechanics,490-5915-1-ND,,C307423,,,,,,
"C14,C13",2,10n C0G,0402,GRM1555C1E103JE01D,Murata Electronics,490-GRM1555C1E103JE01DCT-ND,,C3855387,,,,,,
"C18,C17",2,220u/6.3V,CP_EIA-3528-21_Kemet-B_HandSolder,T520B227M006ATE045,KEMET,399-5755-1-ND,,C254404,,,,,,
"C19,C15,C5,C16",4,1u,0402,GRM155R61C105KA12D,Murata Electronics,490-10694-1-ND,,C77006,,,,,,
"C23,C22",2,10n,0402,GRM155R71H103KA88D,Murata Electronics,490-4516-1-ND,,C77019,,,,,,
C29,1,10pF,0402,GRM1555C1H100JA01D,Murata Electronics,490-5921-1-ND,,C76946,,,,,,
FB1,1,600R@100MHz,0402,BLM15AG601SN1D,Murata Electronics,490-1006-1-ND,,C76884,,,,,,
FPC1,1,FH12A-12S-0.5SH(55),HIROSE_FH12A-12S-0.5SH_55_,FH12A-12S-0.5SH(55),Hirose Electric,HFK112CT-ND,,C596811,,,,,,
L1,1,0.47uH,Sunlord_SWPA252012S,WIP252012P-R47ML,INPAQ,490-13049-1-ND,,C964119,,,,,,
R1,1,316k,0402,0402WGF3163TCE,UNI-ROYAL,13-RC0402FR-13316KLCT-ND,,C25777,,,,,,
"R4,R3",2,2.2k,0402,FRC0402F2201TS,FOJAN,13-RC0402FR-132K2LCT-ND,,C2906865,,,,,,
"R8,R7",2,15k,0402,RC0402FR-0715KL,YAGEO,311-15.0KLRCT-ND,,C114761,,,,,,
"R10,R14,R13",3,10k,0402,FRC0402F1002TS,FOJAN,311-10.0KLRCT-ND,,C2906861,,,,,,
"R11,R12",2,1k,0402,RK73H1ETTP1001F,KOA Speer,311-1.00KLRCT-ND,,C131360,,,,,,
"R15,R16",2,4.7k,0402,FRC0402F4701TS,FOJAN,311-4.7KLRCT-ND,,C2906869,,,,,,
R17,1,10R,0402,ARG02FTC0100,Viking,311-10.0LRCT-ND,,C284283,,,,,,
R18,1,0R,0402,ERJ2GE0R00X,Panasonic,311-0.0JRCT-ND,,C242160,,,,,,
R19,1,33R,0402,ERJ2RKF33R0X,Panasonic,311-33.0LRCT-ND,,C278594,,,,,,
"R20,R9,R2,R21",4,100k,0402,CRCW0402100KFKED,Vishay Dale,311-100KLRCT-ND,,C481918,,,,,,
U1,1,ESP32-PICO-MINI-02U-N8R2,ESP32-PICO-MINI-02U,ESP32-PICO-MINI-02U-N8R2,Espressif Systems,1965-ESP32-PICO-MINI-02U-N8R2CT-ND,,C3013939,,,,,,
U2,1,ES8388,QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm_ThermalVias,ES8388,Everest Semiconductor,,,C365736,,,,,,
U3,1,TPS61021ADSGR,DSG0008A_TEX,TPS61021ADSGR,Texas Instruments,296-TPS61021ADSGRCT-ND,,C193037,,,,,,
U4,1,PAM8302AASCR,MSOP-8_3x3mm_P0.65mm,PAM8302AASCR,Diodes Incorporated,PAM8302AASCRDICT-ND,,C113367,,,,,,
